2026-03-23 12:57:30 | INFO | case=29 | id=mass_5/html/0149-01.html | n_tokens=951 | text=3.46KB | kv_est=297.19MB | pt=0.00B | kv_time=0.939s | gpu_alloc=30.45GB gpu_reserved=30.45GB
2026-03-23 12:57:31 | INFO | case=30 | id=mass_5/html/0150-01.html | n_tokens=1370 | text=5.12KB | kv_est=428.12MB | pt=0.00B | kv_time=1.384s | gpu_alloc=30.45GB gpu_reserved=30.45GB
2026-03-23 12:57:35 | INFO | case=31 | id=mass_5/html/0153-01.html | n_tokens=3999 | text=15.40KB | kv_est=1.22GB | pt=0.00B | kv_time=3.903s | gpu_alloc=30.45GB gpu_reserved=30.45GB
2026-03-23 12:57:36 | INFO | case=32 | id=mass_5/html/0159-01.html | n_tokens=1306 | text=5.17KB | kv_est=408.12MB | pt=0.00B | kv_time=1.345s | gpu_alloc=30.45GB gpu_reserved=30.45GB
2026-03-23 12:57:37 | INFO | case=33 | id=mass_5/html/0161-01.html | n_tokens=762 | text=2.96KB | kv_est=238.12MB | pt=0.00B | kv_time=0.796s | gpu_alloc=30.45GB gpu_reserved=30.45GB
2026-03-23 12:57:39 | INFO | case=34 | id=mass_5/html/0162-01.html | n_tokens=2403 | text=9.72KB | kv_est=750.94MB | pt=0.00B | kv_time=2.401s | gpu_alloc=30.45GB gpu_reserved=30.45GB
2026-03-23 12:57:45 | INFO | case=35 | id=mass_5/html/0166-01.html | n_tokens=5285 | text=20.97KB | kv_est=1.61GB | pt=0.00B | kv_time=5.347s | gpu_alloc=30.45GB gpu_reserved=30.45GB
2026-03-23 12:57:46 | INFO | case=36 | id=mass_5/html/0174-01.html | n_tokens=1592 | text=6.31KB | kv_est=497.50MB | pt=0.00B | kv_time=1.586s | gpu_alloc=30.45GB gpu_reserved=30.45GB
2026-03-23 12:57:49 | INFO | case=37 | id=mass_5/html/0177-01.html | n_tokens=2256 | text=8.00KB | kv_est=705.00MB | pt=0.00B | kv_time=2.242s | gpu_alloc=30.45GB gpu_reserved=30.45GB
2026-03-23 12:57:50 | INFO | case=38 | id=mass_5/html/0181-01.html | n_tokens=1321 | text=4.85KB | kv_est=412.81MB | pt=0.00B | kv_time=1.361s | gpu_alloc=30.45GB gpu_reserved=30.45GB
2026-03-23 12:57:52 | INFO | case=39 | id=mass_5/html/0183-01.html | n_tokens=2449 | text=9.44KB | kv_est=765.31MB | pt=0.00B | kv_time=2.495s | gpu_alloc=30.45GB gpu_reserved=30.45GB
2026-03-23 12:57:54 | INFO | case=40 | id=mass_5/html/0186-01.html | n_tokens=1966 | text=7.13KB | kv_est=614.38MB | pt=0.00B | kv_time=1.944s | gpu_alloc=30.45GB gpu_reserved=30.45GB
2026-03-23 12:57:56 | INFO | case=41 | id=mass_5/html/0189-01.html | n_tokens=1917 | text=7.06KB | kv_est=599.06MB | pt=0.00B | kv_time=1.817s | gpu_alloc=30.45GB gpu_reserved=30.45GB
2026-03-23 12:58:00 | INFO | case=42 | id=mass_5/html/0192-01.html | n_tokens=3540 | text=12.05KB | kv_est=1.08GB | pt=0.00B | kv_time=3.534s | gpu_alloc=30.45GB gpu_reserved=30.45GB
2026-03-23 12:58:01 | INFO | case=43 | id=mass_5/html/0196-01.html | n_tokens=1116 | text=4.45KB | kv_est=348.75MB | pt=0.00B | kv_time=1.151s | gpu_alloc=30.45GB gpu_reserved=30.45GB
2026-03-23 12:58:01 | INFO | case=44 | id=mass_5/html/0198-01.html | n_tokens=186 | text=718.00B | kv_est=58.12MB | pt=0.00B | kv_time=0.215s | gpu_alloc=30.45GB gpu_reserved=30.45GB
2026-03-23 12:58:01 | INFO | case=45 | id=mass_5/html/0199-01.html | n_tokens=243 | text=970.00B | kv_est=75.94MB | pt=0.00B | kv_time=0.270s | gpu_alloc=30.45GB gpu_reserved=30.45GB
2026-03-23 12:58:03 | INFO | case=46 | id=mass_5/html/0200-01.html | n_tokens=1471 | text=5.67KB | kv_est=459.69MB | pt=0.00B | kv_time=1.414s | gpu_alloc=30.45GB gpu_reserved=30.45GB
2026-03-23 12:58:04 | INFO | case=47 | id=mass_5/html/0203-01.html | n_tokens=1091 | text=4.11KB | kv_est=340.94MB | pt=0.00B | kv_time=1.148s | gpu_alloc=30.45GB gpu_reserved=30.45GB
2026-03-23 12:58:06 | INFO | case=48 | id=mass_5/html/0204-01.html | n_tokens=2302 | text=8.52KB | kv_est=719.38MB | pt=0.00B | kv_time=2.214s | gpu_alloc=30.45GB gpu_reserved=30.45GB
2026-03-23 12:58:09 | INFO | case=49 | id=mass_5/html/0208-01.html | n_tokens=2427 | text=9.59KB | kv_est=758.44MB | pt=0.00B | kv_time=2.410s | gpu_alloc=30.45GB gpu_reserved=30.45GB
2026-03-23 12:58:11 | INFO | case=50 | id=mass_5/html/0211-01.html | n_tokens=2277 | text=8.76KB | kv_est=711.56MB | pt=0.00B | kv_time=2.212s | gpu_alloc=30.45GB gpu_reserved=30.45GB
2026-03-23 12:58:11 | INFO | PROGRESS cases=50 (skipped: not_reporter=461032, bad_id=41, missing_text=0, already_exists=0) | pt_total=0.00B | kv_time_sum=150.2s | wall=259.5s
2026-03-23 12:58:14 | INFO | case=51 | id=mass_5/html/0215-01.html | n_tokens=3103 | text=11.58KB | kv_est=969.69MB | pt=0.00B | kv_time=3.089s | gpu_alloc=30.45GB gpu_reserved=30.45GB
2026-03-23 12:58:18 | INFO | case=52 | id=mass_5/html/0219-01.html | n_tokens=4010 | text=15.84KB | kv_est=1.22GB | pt=0.00B | kv_time=3.919s | gpu_alloc=30.45GB gpu_reserved=30.45GB
2026-03-23 12:58:20 | INFO | case=53 | id=mass_5/html/0226-01.html | n_tokens=2606 | text=10.20KB | kv_est=814.38MB | pt=0.00B | kv_time=2.587s | gpu_alloc=30.45GB gpu_reserved=30.45GB
