2026-03-25 01:03:25 | INFO | case=1 | id=mass_5/html/0001-01.html | n_tokens=5021 | text=19.74KB | kv_est=1.53GB | pt=1.53GB | kv_time=6.831s | gpu_alloc=30.45GB gpu_reserved=30.45GB
2026-03-25 01:03:46 | INFO | case=2 | id=mass_5/html/0008-01.html | n_tokens=15135 | text=59.46KB | kv_est=4.62GB | pt=4.62GB | kv_time=20.292s | gpu_alloc=30.45GB gpu_reserved=30.45GB
2026-03-25 01:03:53 | INFO | case=3 | id=mass_5/html/0030-01.html | n_tokens=6077 | text=24.06KB | kv_est=1.85GB | pt=1.85GB | kv_time=7.560s | gpu_alloc=30.45GB gpu_reserved=30.45GB
2026-03-25 01:03:58 | INFO | case=4 | id=mass_5/html/0039-01.html | n_tokens=3824 | text=14.63KB | kv_est=1.17GB | pt=1.17GB | kv_time=4.499s | gpu_alloc=30.45GB gpu_reserved=30.45GB
2026-03-25 01:04:01 | INFO | case=5 | id=mass_5/html/0044-01.html | n_tokens=3085 | text=11.46KB | kv_est=964.06MB | pt=964.08MB | kv_time=3.798s | gpu_alloc=30.45GB gpu_reserved=30.45GB
2026-03-25 01:04:11 | INFO | case=6 | id=mass_5/html/0049-01.html | n_tokens=7743 | text=28.68KB | kv_est=2.36GB | pt=2.36GB | kv_time=9.667s | gpu_alloc=30.45GB gpu_reserved=30.45GB
2026-03-25 01:04:15 | INFO | case=7 | id=mass_5/html/0059-01.html | n_tokens=2977 | text=11.88KB | kv_est=930.31MB | pt=930.33MB | kv_time=3.483s | gpu_alloc=30.45GB gpu_reserved=30.45GB
2026-03-25 01:04:17 | INFO | case=8 | id=mass_5/html/0064-01.html | n_tokens=1973 | text=7.14KB | kv_est=616.56MB | pt=616.58MB | kv_time=2.354s | gpu_alloc=30.45GB gpu_reserved=30.45GB
2026-03-25 01:04:19 | INFO | case=9 | id=mass_5/html/0066-01.html | n_tokens=1989 | text=7.11KB | kv_est=621.56MB | pt=621.58MB | kv_time=2.399s | gpu_alloc=30.45GB gpu_reserved=30.45GB
2026-03-25 01:04:21 | INFO | case=10 | id=mass_5/html/0069-01.html | n_tokens=1687 | text=6.01KB | kv_est=527.19MB | pt=527.21MB | kv_time=2.021s | gpu_alloc=30.45GB gpu_reserved=30.45GB
2026-03-25 01:04:23 | INFO | case=11 | id=mass_5/html/0072-01.html | n_tokens=1041 | text=3.82KB | kv_est=325.31MB | pt=325.33MB | kv_time=1.217s | gpu_alloc=30.45GB gpu_reserved=30.45GB
