2026-03-26 12:00:52 | INFO | case=1 | id=mass_5/html/0001-01.html | n_tokens=5021 | text=19.74KB | kv_est=1.53GB | pt=1.53GB | kv_time=6.622s | gpu_alloc=30.45GB gpu_reserved=30.45GB
2026-03-26 12:01:12 | INFO | case=2 | id=mass_5/html/0008-01.html | n_tokens=15135 | text=59.46KB | kv_est=4.62GB | pt=4.62GB | kv_time=19.794s | gpu_alloc=30.45GB gpu_reserved=30.45GB
2026-03-26 12:01:19 | INFO | case=3 | id=mass_5/html/0030-01.html | n_tokens=6077 | text=24.06KB | kv_est=1.85GB | pt=1.85GB | kv_time=7.358s | gpu_alloc=30.45GB gpu_reserved=30.45GB
2026-03-26 12:01:24 | INFO | case=4 | id=mass_5/html/0039-01.html | n_tokens=3824 | text=14.63KB | kv_est=1.17GB | pt=1.17GB | kv_time=4.624s | gpu_alloc=30.45GB gpu_reserved=30.45GB
2026-03-26 12:01:28 | INFO | case=5 | id=mass_5/html/0044-01.html | n_tokens=3085 | text=11.46KB | kv_est=964.06MB | pt=964.08MB | kv_time=3.739s | gpu_alloc=30.45GB gpu_reserved=30.45GB
2026-03-26 12:01:38 | INFO | case=6 | id=mass_5/html/0049-01.html | n_tokens=7743 | text=28.68KB | kv_est=2.36GB | pt=2.36GB | kv_time=9.958s | gpu_alloc=30.45GB gpu_reserved=30.45GB
2026-03-26 12:01:41 | INFO | case=7 | id=mass_5/html/0059-01.html | n_tokens=2977 | text=11.88KB | kv_est=930.31MB | pt=930.33MB | kv_time=3.807s | gpu_alloc=30.45GB gpu_reserved=30.45GB
2026-03-26 12:01:44 | INFO | case=8 | id=mass_5/html/0064-01.html | n_tokens=1973 | text=7.14KB | kv_est=616.56MB | pt=616.58MB | kv_time=2.421s | gpu_alloc=30.45GB gpu_reserved=30.45GB
2026-03-26 12:01:46 | INFO | case=9 | id=mass_5/html/0066-01.html | n_tokens=1989 | text=7.11KB | kv_est=621.56MB | pt=621.58MB | kv_time=2.398s | gpu_alloc=30.45GB gpu_reserved=30.45GB
2026-03-26 12:01:48 | INFO | case=10 | id=mass_5/html/0069-01.html | n_tokens=1687 | text=6.01KB | kv_est=527.19MB | pt=527.21MB | kv_time=2.149s | gpu_alloc=30.45GB gpu_reserved=30.45GB
2026-03-26 12:01:50 | INFO | case=11 | id=mass_5/html/0072-01.html | n_tokens=1041 | text=3.82KB | kv_est=325.31MB | pt=325.33MB | kv_time=1.290s | gpu_alloc=30.45GB gpu_reserved=30.45GB
2026-03-26 12:01:51 | INFO | case=12 | id=mass_5/html/0073-01.html | n_tokens=1320 | text=4.88KB | kv_est=412.50MB | pt=412.52MB | kv_time=1.559s | gpu_alloc=30.45GB gpu_reserved=30.45GB
2026-03-26 12:01:53 | INFO | case=13 | id=mass_5/html/0075-01.html | n_tokens=1405 | text=5.69KB | kv_est=439.06MB | pt=439.08MB | kv_time=1.877s | gpu_alloc=30.45GB gpu_reserved=30.45GB
2026-03-26 12:01:55 | INFO | case=14 | id=mass_5/html/0077-01.html | n_tokens=1117 | text=4.12KB | kv_est=349.06MB | pt=349.08MB | kv_time=1.546s | gpu_alloc=30.45GB gpu_reserved=30.45GB
2026-03-26 12:01:56 | INFO | case=15 | id=mass_5/html/0079-01.html | n_tokens=1223 | text=4.32KB | kv_est=382.19MB | pt=382.21MB | kv_time=1.636s | gpu_alloc=30.45GB gpu_reserved=30.45GB
2026-03-26 12:02:07 | INFO | case=16 | id=mass_5/html/0081-01.html | n_tokens=8539 | text=32.24KB | kv_est=2.61GB | pt=2.61GB | kv_time=10.680s | gpu_alloc=30.45GB gpu_reserved=30.45GB
2026-03-26 12:02:13 | INFO | case=17 | id=mass_5/html/0093-01.html | n_tokens=4966 | text=18.43KB | kv_est=1.52GB | pt=1.52GB | kv_time=6.201s | gpu_alloc=30.45GB gpu_reserved=30.45GB
2026-03-26 12:02:17 | INFO | case=18 | id=mass_5/html/0100-01.html | n_tokens=3167 | text=12.00KB | kv_est=989.69MB | pt=989.71MB | kv_time=3.706s | gpu_alloc=30.45GB gpu_reserved=30.45GB
2026-03-26 12:02:20 | INFO | case=19 | id=mass_5/html/0104-01.html | n_tokens=2561 | text=10.19KB | kv_est=800.31MB | pt=800.33MB | kv_time=3.032s | gpu_alloc=30.45GB gpu_reserved=30.45GB
