2026-03-23 18:47:37 | INFO | case=29 | id=mass_56/html/0316-01.html | n_tokens=4257 | text=15.84KB | kv_est=1.30GB | pt=1.30GB | kv_time=5.000s | gpu_alloc=30.45GB gpu_reserved=30.45GB
2026-03-23 18:47:39 | INFO | case=30 | id=mass_56/html/0325-01.html | n_tokens=1351 | text=4.87KB | kv_est=422.19MB | pt=422.21MB | kv_time=1.547s | gpu_alloc=30.45GB gpu_reserved=30.45GB
2026-03-23 18:47:42 | INFO | case=31 | id=mass_56/html/0327-01.html | n_tokens=3071 | text=11.78KB | kv_est=959.69MB | pt=959.71MB | kv_time=3.706s | gpu_alloc=30.45GB gpu_reserved=30.45GB
2026-03-23 18:47:44 | INFO | case=32 | id=mass_56/html/0333-01.html | n_tokens=1504 | text=5.93KB | kv_est=470.00MB | pt=470.02MB | kv_time=1.876s | gpu_alloc=30.45GB gpu_reserved=30.45GB
2026-03-23 18:47:45 | INFO | case=33 | id=mass_56/html/0335-01.html | n_tokens=806 | text=3.03KB | kv_est=251.88MB | pt=251.90MB | kv_time=1.055s | gpu_alloc=30.45GB gpu_reserved=30.45GB
2026-03-23 18:47:48 | INFO | case=34 | id=mass_56/html/0337-01.html | n_tokens=2425 | text=8.65KB | kv_est=757.81MB | pt=757.83MB | kv_time=2.928s | gpu_alloc=30.45GB gpu_reserved=30.45GB
2026-03-23 18:47:53 | INFO | case=35 | id=mass_56/html/0341-01.html | n_tokens=3536 | text=14.08KB | kv_est=1.08GB | pt=1.08GB | kv_time=4.363s | gpu_alloc=30.45GB gpu_reserved=30.45GB
2026-03-23 18:47:59 | INFO | case=36 | id=mass_56/html/0347-01.html | n_tokens=4632 | text=16.52KB | kv_est=1.41GB | pt=1.41GB | kv_time=5.889s | gpu_alloc=30.45GB gpu_reserved=30.45GB
2026-03-23 18:48:03 | INFO | case=37 | id=mass_56/html/0355-01.html | n_tokens=3221 | text=12.39KB | kv_est=1006.56MB | pt=1006.58MB | kv_time=3.941s | gpu_alloc=30.45GB gpu_reserved=30.45GB
2026-03-23 18:48:05 | INFO | case=38 | id=mass_56/html/0361-01.html | n_tokens=1917 | text=7.55KB | kv_est=599.06MB | pt=599.08MB | kv_time=2.233s | gpu_alloc=30.45GB gpu_reserved=30.45GB
2026-03-23 18:48:09 | INFO | case=39 | id=mass_56/html/0365-01.html | n_tokens=3366 | text=12.77KB | kv_est=1.03GB | pt=1.03GB | kv_time=3.863s | gpu_alloc=30.45GB gpu_reserved=30.45GB
2026-03-23 18:48:12 | INFO | case=40 | id=mass_56/html/0371-01.html | n_tokens=2183 | text=8.16KB | kv_est=682.19MB | pt=682.21MB | kv_time=2.805s | gpu_alloc=30.45GB gpu_reserved=30.45GB
2026-03-23 18:48:13 | INFO | case=41 | id=mass_56/html/0374-01.html | n_tokens=1208 | text=4.39KB | kv_est=377.50MB | pt=377.52MB | kv_time=1.420s | gpu_alloc=30.45GB gpu_reserved=30.45GB
2026-03-23 18:48:22 | INFO | case=42 | id=mass_56/html/0377-01.html | n_tokens=7313 | text=28.78KB | kv_est=2.23GB | pt=2.23GB | kv_time=9.139s | gpu_alloc=30.45GB gpu_reserved=30.45GB
2026-03-23 18:48:23 | INFO | case=43 | id=mass_56/html/0390-01.html | n_tokens=447 | text=1.91KB | kv_est=139.69MB | pt=139.71MB | kv_time=0.584s | gpu_alloc=30.45GB gpu_reserved=30.45GB
2026-03-23 18:48:28 | INFO | case=44 | id=mass_56/html/0392-01.html | n_tokens=4419 | text=17.00KB | kv_est=1.35GB | pt=1.35GB | kv_time=5.343s | gpu_alloc=30.45GB gpu_reserved=30.45GB
2026-03-23 18:48:32 | INFO | case=45 | id=mass_56/html/0400-01.html | n_tokens=3361 | text=13.05KB | kv_est=1.03GB | pt=1.03GB | kv_time=3.983s | gpu_alloc=30.45GB gpu_reserved=30.45GB
2026-03-23 18:48:36 | INFO | case=46 | id=mass_56/html/0406-01.html | n_tokens=2881 | text=11.05KB | kv_est=900.31MB | pt=900.33MB | kv_time=3.672s | gpu_alloc=30.45GB gpu_reserved=30.45GB
2026-03-23 18:48:40 | INFO | case=47 | id=mass_56/html/0412-01.html | n_tokens=3084 | text=12.49KB | kv_est=963.75MB | pt=963.77MB | kv_time=3.865s | gpu_alloc=30.45GB gpu_reserved=30.45GB
2026-03-23 18:48:41 | INFO | case=48 | id=mass_56/html/0417-01.html | n_tokens=926 | text=3.36KB | kv_est=289.38MB | pt=289.40MB | kv_time=1.139s | gpu_alloc=30.45GB gpu_reserved=30.45GB
2026-03-23 18:48:46 | INFO | case=49 | id=mass_56/html/0419-01.html | n_tokens=3848 | text=15.29KB | kv_est=1.17GB | pt=1.17GB | kv_time=4.901s | gpu_alloc=30.45GB gpu_reserved=30.45GB
2026-03-23 18:48:48 | INFO | case=50 | id=mass_56/html/0426-01.html | n_tokens=1591 | text=6.50KB | kv_est=497.19MB | pt=497.21MB | kv_time=2.130s | gpu_alloc=30.45GB gpu_reserved=30.45GB
2026-03-23 18:48:48 | INFO | PROGRESS cases=50 (skipped: not_reporter=461032, bad_id=41, missing_text=0, already_exists=762) | pt_total=51.59GB | kv_time_sum=212.5s | wall=339.1s
2026-03-23 18:48:51 | INFO | case=51 | id=mass_56/html/0429-01.html | n_tokens=2324 | text=8.69KB | kv_est=726.25MB | pt=726.27MB | kv_time=2.821s | gpu_alloc=30.45GB gpu_reserved=30.45GB
2026-03-23 18:48:55 | INFO | case=52 | id=mass_56/html/0433-01.html | n_tokens=3158 | text=12.17KB | kv_est=986.88MB | pt=986.90MB | kv_time=3.984s | gpu_alloc=30.45GB gpu_reserved=30.45GB
2026-03-23 18:49:07 | INFO | case=53 | id=mass_56/html/0439-01.html | n_tokens=9652 | text=34.18KB | kv_est=2.95GB | pt=2.95GB | kv_time=12.235s | gpu_alloc=30.45GB gpu_reserved=30.45GB
2026-03-23 18:49:12 | INFO | case=54 | id=mass_56/html/0455-01.html | n_tokens=3918 | text=13.18KB | kv_est=1.20GB | pt=1.20GB | kv_time=4.756s | gpu_alloc=30.45GB gpu_reserved=30.45GB
2026-03-23 18:49:14 | INFO | case=55 | id=mass_56/html/0462-01.html | n_tokens=1787 | text=6.35KB | kv_est=558.44MB | pt=558.46MB | kv_time=2.483s | gpu_alloc=30.45GB gpu_reserved=30.45GB
2026-03-23 18:49:16 | INFO | case=56 | id=mass_56/html/0465-01.html | n_tokens=1133 | text=4.40KB | kv_est=354.06MB | pt=354.08MB | kv_time=1.504s | gpu_alloc=30.45GB gpu_reserved=30.45GB
2026-03-23 18:49:22 | INFO | case=57 | id=mass_56/html/0467-01.html | n_tokens=5053 | text=18.34KB | kv_est=1.54GB | pt=1.54GB | kv_time=6.278s | gpu_alloc=30.45GB gpu_reserved=30.45GB
2026-03-23 18:49:26 | INFO | case=58 | id=mass_56/html/0475-01.html | n_tokens=3005 | text=9.97KB | kv_est=939.06MB | pt=939.08MB | kv_time=3.594s | gpu_alloc=30.45GB gpu_reserved=30.45GB
2026-03-23 18:49:30 | INFO | case=59 | id=mass_56/html/0480-01.html | n_tokens=3428 | text=13.38KB | kv_est=1.05GB | pt=1.05GB | kv_time=4.064s | gpu_alloc=30.45GB gpu_reserved=30.45GB
2026-03-23 18:49:35 | INFO | case=60 | id=mass_56/html/0486-01.html | n_tokens=4656 | text=15.63KB | kv_est=1.42GB | pt=1.42GB | kv_time=5.622s | gpu_alloc=30.45GB gpu_reserved=30.45GB
2026-03-23 18:49:39 | INFO | case=61 | id=mass_56/html/0494-01.html | n_tokens=3308 | text=13.17KB | kv_est=1.01GB | pt=1.01GB | kv_time=4.022s | gpu_alloc=30.45GB gpu_reserved=30.45GB
2026-03-23 18:49:53 | INFO | case=62 | id=mass_56/html/0500-01.html | n_tokens=11304 | text=41.37KB | kv_est=3.45GB | pt=3.45GB | kv_time=14.091s | gpu_alloc=30.45GB gpu_reserved=30.45GB
2026-03-23 18:50:05 | INFO | case=63 | id=mass_56/html/0519-01.html | n_tokens=9055 | text=36.89KB | kv_est=2.76GB | pt=2.76GB | kv_time=11.900s | gpu_alloc=30.45GB gpu_reserved=30.45GB
2026-03-23 18:50:06 | INFO | case=64 | id=mass_56/html/0535-01.html | n_tokens=293 | text=1.10KB | kv_est=91.56MB | pt=91.58MB | kv_time=0.490s | gpu_alloc=30.45GB gpu_reserved=30.45GB
2026-03-23 18:50:09 | INFO | case=65 | id=mass_56/html/0536-01.html | n_tokens=1898 | text=7.31KB | kv_est=593.12MB | pt=593.15MB | kv_time=2.748s | gpu_alloc=30.45GB gpu_reserved=30.45GB
2026-03-23 18:50:12 | INFO | case=66 | id=mass_56/html/0539-01.html | n_tokens=2481 | text=10.02KB | kv_est=775.31MB | pt=775.33MB | kv_time=3.267s | gpu_alloc=30.45GB gpu_reserved=30.45GB
