2026-05-08 10:03:25 | INFO | mode=benchmark | max_tokens=17000 | reporters=['davis-l-ct-cas', 'mass', 'mass-app-ct', 'mass-app-dec', 'mass-app-div', 'mass-app-div-annual', 'mass-l-rptr', 'mass-supp', 'rec-co-ct', 'rep-cont-el', 'rep-cont-elect-case', 'super-ct-jud']
2026-05-08 10:07:13 | INFO | case=27 | id=mass_5/html/0145-01.html | n_tokens=773 | text=3.54KB | kv_est=60.39MB | pt=60.41MB | kv_time=0.128s | gpu_alloc=6.35GB gpu_reserved=6.35GB
2026-05-08 10:07:13 | INFO | case=28 | id=mass_5/html/0146-01.html | n_tokens=1714 | text=7.49KB | kv_est=133.91MB | pt=133.93MB | kv_time=0.187s | gpu_alloc=6.35GB gpu_reserved=6.35GB
2026-05-08 10:07:13 | INFO | case=29 | id=mass_5/html/0149-01.html | n_tokens=815 | text=3.46KB | kv_est=63.67MB | pt=63.70MB | kv_time=0.116s | gpu_alloc=6.35GB gpu_reserved=6.35GB
2026-05-08 10:07:13 | INFO | case=30 | id=mass_5/html/0150-01.html | n_tokens=1186 | text=5.12KB | kv_est=92.66MB | pt=92.68MB | kv_time=0.139s | gpu_alloc=6.35GB gpu_reserved=6.35GB
2026-05-08 10:07:14 | INFO | case=31 | id=mass_5/html/0153-01.html | n_tokens=3451 | text=15.40KB | kv_est=269.61MB | pt=269.63MB | kv_time=0.388s | gpu_alloc=6.35GB gpu_reserved=6.35GB
2026-05-08 10:07:14 | INFO | case=32 | id=mass_5/html/0159-01.html | n_tokens=1134 | text=5.17KB | kv_est=88.59MB | pt=88.62MB | kv_time=0.139s | gpu_alloc=6.35GB gpu_reserved=6.35GB
2026-05-08 10:07:14 | INFO | case=33 | id=mass_5/html/0161-01.html | n_tokens=658 | text=2.96KB | kv_est=51.41MB | pt=51.43MB | kv_time=0.107s | gpu_alloc=6.35GB gpu_reserved=6.35GB
2026-05-08 10:07:14 | INFO | case=34 | id=mass_5/html/0162-01.html | n_tokens=2097 | text=9.72KB | kv_est=163.83MB | pt=163.85MB | kv_time=0.235s | gpu_alloc=6.35GB gpu_reserved=6.35GB
2026-05-08 10:07:15 | INFO | case=35 | id=mass_5/html/0166-01.html | n_tokens=4585 | text=20.97KB | kv_est=358.20MB | pt=358.23MB | kv_time=0.506s | gpu_alloc=6.35GB gpu_reserved=6.35GB
2026-05-08 10:07:15 | INFO | case=36 | id=mass_5/html/0174-01.html | n_tokens=1377 | text=6.31KB | kv_est=107.58MB | pt=107.60MB | kv_time=0.397s | gpu_alloc=6.35GB gpu_reserved=6.35GB
